Model Type: WaveAnalyzer 1500S
Model Number: 1500S
Serial Number: WA000819
Firmware Version: 1.04
Software Version: 1.9.0
Trace Name: Trace D
Resolution Bandwidth: 150 MHz
Warnings: Normal,ETP1
Creation Time: 2025-07-08T13:22:47

Data:
Frequency [THz]	Wavelength [nm]	Absolute Power [mW]	Power X-Polarization [mW]	Power Y-Polarization [mW]
191.014850	1569.471997	9.339300E-5	2.260100E-5	7.075421E-5
191.014950	1569.471175	9.457459E-5	2.441514E-5	7.016517E-5
191.015050	1569.470353	9.204764E-5	2.524251E-5	6.680195E-5
191.015150	1569.469532	9.413210E-5	2.580243E-5	6.831535E-5
191.015250	1569.468710	9.445055E-5	2.573898E-5	6.869787E-5
191.015350	1569.467888	9.710718E-5	2.619921E-5	7.090657E-5
191.015450	1569.467067	9.616313E-5	2.609861E-5	7.005352E-5
191.015550	1569.466245	9.429016E-5	2.433871E-5	6.993279E-5
191.015650	1569.465423	9.231521E-5	2.401422E-5	6.826037E-5
191.015750	1569.464602	9.245983E-5	2.598032E-5	6.649281E-5
191.015850	1569.463780	9.602166E-5	2.710741E-5	6.890582E-5
191.015950	1569.462958	9.514811E-5	2.600597E-5	6.914568E-5
191.016050	1569.462137	9.277199E-5	2.430311E-5	6.847635E-5
191.016150	1569.461315	9.353874E-5	2.527447E-5	6.824620E-5
191.016250	1569.460494	9.808072E-5	2.595049E-5	7.212626E-5
191.016350	1569.459672	9.897376E-5	2.663194E-5	7.233396E-5
191.016450	1569.458850	9.770908E-5	2.732396E-5	7.037368E-5
191.016550	1569.458029	0.000102	2.834720E-5	7.327216E-5
191.016650	1569.457207	0.000104	2.710925E-5	7.639686E-5
191.016750	1569.456385	0.000101	2.569037E-5	7.554986E-5
191.016850	1569.455564	0.000101	2.604253E-5	7.529692E-5
191.016950	1569.454742	9.816190E-5	2.663782E-5	7.152524E-5
191.017050	1569.453920	9.950382E-5	2.678414E-5	7.272500E-5
191.017150	1569.453099	9.861237E-5	2.738690E-5	7.120099E-5
191.017250	1569.452277	9.512100E-5	2.767536E-5	6.741165E-5
191.017350	1569.451456	9.735497E-5	2.822540E-5	6.912009E-5
191.017450	1569.450634	9.750592E-5	2.801102E-5	6.949617E-5
191.017550	1569.449812	9.450437E-5	2.592129E-5	6.857705E-5
191.017650	1569.448991	9.666451E-5	2.552127E-5	7.111359E-5
191.017750	1569.448169	0.000104	2.597474E-5	7.794332E-5
191.017850	1569.447347	0.000110	2.577460E-5	8.385110E-5
191.017950	1569.446526	0.000110	2.728807E-5	8.239651E-5
191.018050	1569.445704	0.000106	2.932488E-5	7.708813E-5
191.018150	1569.444883	0.000103	2.933017E-5	7.349910E-5
191.018250	1569.444061	0.000105	2.773604E-5	7.684912E-5
191.018350	1569.443239	0.000110	2.736631E-5	8.300689E-5
191.018450	1569.442418	0.000101	2.610623E-5	7.534353E-5
191.018550	1569.441596	9.573162E-5	2.627461E-5	6.943243E-5
191.018650	1569.440775	0.000101	2.594004E-5	7.466897E-5
191.018750	1569.439953	0.000105	2.811752E-5	7.666347E-5
191.018850	1569.439131	0.000107	2.800589E-5	7.937729E-5
191.018950	1569.438310	0.000108	2.810754E-5	7.997439E-5
191.019050	1569.437488	0.000102	2.573410E-5	7.595971E-5
191.019150	1569.436666	0.000102	2.681634E-5	7.504414E-5
191.019250	1569.435845	0.000103	2.794219E-5	7.456223E-5
191.019350	1569.435023	9.774060E-5	2.649917E-5	7.124844E-5
191.019450	1569.434202	9.839609E-5	2.700611E-5	7.137499E-5
191.019550	1569.433380	0.000106	2.686453E-5	7.890510E-5
191.019650	1569.432558	0.000109	2.869197E-5	8.074968E-5
191.019750	1569.431737	0.000105	2.904783E-5	7.593565E-5
191.019850	1569.430915	0.000103	2.859509E-5	7.412163E-5
191.019950	1569.430094	9.992249E-5	2.815028E-5	7.176166E-5
191.020050	1569.429272	0.000101	2.673602E-5	7.453664E-5
191.020150	1569.428450	0.000107	2.801710E-5	7.878574E-5
191.020250	1569.427629	0.000106	2.817511E-5	7.736888E-5
191.020350	1569.426807	0.000103	2.743336E-5	7.594404E-5
191.020450	1569.425986	9.989798E-5	2.713104E-5	7.280078E-5
191.020550	1569.425164	9.902346E-5	2.707570E-5	7.196114E-5
191.020650	1569.424342	9.641421E-5	2.634755E-5	7.005698E-5
191.020750	1569.423521	9.531380E-5	2.612047E-5	6.918652E-5
191.020850	1569.422699	9.589384E-5	2.608953E-5	6.980095E-5
191.020950	1569.421878	9.967464E-5	2.582227E-5	7.387244E-5
191.021050	1569.421056	9.729503E-5	2.685430E-5	7.042977E-5
191.021150	1569.420234	9.468299E-5	2.640293E-5	6.826405E-5
191.021250	1569.419413	9.422831E-5	2.554812E-5	6.868182E-5
191.021350	1569.418591	9.178955E-5	2.614391E-5	6.562750E-5
191.021450	1569.417770	9.429651E-5	2.530554E-5	6.898124E-5
191.021550	1569.416948	9.804147E-5	2.425309E-5	7.377699E-5
191.021650	1569.416126	9.934046E-5	2.433770E-5	7.499230E-5
191.021750	1569.415305	9.758803E-5	2.592425E-5	7.163342E-5
191.021850	1569.414483	9.771268E-5	2.641546E-5	7.132934E-5
191.021950	1569.413662	9.722622E-5	2.578135E-5	7.142452E-5
191.022050	1569.412840	9.727463E-5	2.593183E-5	7.132644E-5
191.022150	1569.412018	0.000100	2.564068E-5	7.484487E-5
191.022250	1569.411197	9.930985E-5	2.511425E-5	7.416058E-5
191.022350	1569.410375	9.800685E-5	2.701857E-5	7.097869E-5
191.022450	1569.409554	9.699214E-5	2.650877E-5	7.049632E-5
191.022550	1569.408732	9.038384E-5	2.448172E-5	6.591107E-5
191.022650	1569.407911	8.684821E-5	2.398912E-5	6.283223E-5
191.022750	1569.407089	9.264086E-5	2.513016E-5	6.749369E-5
191.022850	1569.406267	9.609183E-5	2.575829E-5	7.032215E-5
191.022950	1569.405446	9.676947E-5	2.597280E-5	7.080404E-5
191.023050	1569.404624	9.607716E-5	2.696495E-5	6.909783E-5
191.023150	1569.403803	9.441692E-5	2.763369E-5	6.678582E-5
191.023250	1569.402981	9.146943E-5	2.570701E-5	6.574223E-5
191.023350	1569.402159	9.290903E-5	2.564522E-5	6.724213E-5
191.023450	1569.401338	9.494492E-5	2.596459E-5	6.899826E-5
191.023550	1569.400516	9.027817E-5	2.385778E-5	6.643002E-5
191.023650	1569.399695	9.024235E-5	2.393167E-5	6.632193E-5
191.023750	1569.398873	9.116899E-5	2.430439E-5	6.683958E-5
191.023850	1569.398052	9.310425E-5	2.490527E-5	6.817225E-5
191.023950	1569.397230	9.561606E-5	2.548028E-5	7.014028E-5
191.024050	1569.396408	9.169754E-5	2.513571E-5	6.656474E-5
191.024150	1569.395587	8.927046E-5	2.606322E-5	6.318550E-5
191.024250	1569.394765	9.210978E-5	2.405228E-5	6.803458E-5
191.024350	1569.393944	9.453390E-5	2.415142E-5	7.038520E-5
191.024450	1569.393122	9.342173E-5	2.498762E-5	6.843738E-5
191.024550	1569.392301	9.494846E-5	2.526318E-5	6.970470E-5
191.024650	1569.391479	9.129816E-5	2.474697E-5	6.655306E-5
191.024750	1569.390657	9.557128E-5	2.505033E-5	7.049344E-5
191.024850	1569.389836	9.812295E-5	2.460941E-5	7.350177E-5
191.024950	1569.389014	9.270224E-5	2.366911E-5	6.903935E-5
191.025050	1569.388193	9.490950E-5	2.544798E-5	6.944592E-5
191.025150	1569.387371	9.912075E-5	2.684123E-5	7.226343E-5
191.025250	1569.386550	9.436430E-5	2.440521E-5	6.993654E-5
191.025350	1569.385728	9.070729E-5	2.456786E-5	6.611360E-5
191.025450	1569.384907	8.920439E-5	2.462461E-5	6.459905E-5
191.025550	1569.384085	9.304752E-5	2.424536E-5	6.880758E-5
191.025650	1569.383263	9.253538E-5	2.526656E-5	6.721856E-5
191.025750	1569.382442	8.918362E-5	2.393679E-5	6.524695E-5
191.025850	1569.381620	8.980930E-5	2.440191E-5	6.541372E-5
191.025950	1569.380799	8.454405E-5	2.454806E-5	5.999491E-5
191.026050	1569.379977	8.767069E-5	2.495287E-5	6.271572E-5
191.026150	1569.379156	8.856706E-5	2.421904E-5	6.433453E-5
191.026250	1569.378334	8.611759E-5	2.223363E-5	6.387814E-5
191.026350	1569.377513	8.728729E-5	2.107760E-5	6.621677E-5
191.026450	1569.376691	8.902904E-5	2.253693E-5	6.647916E-5
191.026550	1569.375869	9.134873E-5	2.434094E-5	6.699645E-5
191.026650	1569.375048	9.243063E-5	2.410790E-5	6.834102E-5
191.026750	1569.374226	9.381407E-5	2.460520E-5	6.918509E-5
191.026850	1569.373405	8.868780E-5	2.315922E-5	6.552941E-5
191.026950	1569.372583	8.540976E-5	2.206690E-5	6.333398E-5
191.027050	1569.371762	9.107294E-5	2.394198E-5	6.713015E-5
191.027150	1569.370940	8.847823E-5	2.419337E-5	6.427952E-5
191.027250	1569.370119	8.360426E-5	2.304099E-5	6.057616E-5
191.027350	1569.369297	8.593406E-5	2.379877E-5	6.211860E-5
191.027450	1569.368476	8.588614E-5	2.392681E-5	6.195568E-5
191.027550	1569.367654	8.759488E-5	2.269564E-5	6.488211E-5
191.027650	1569.366832	8.846854E-5	2.153662E-5	6.690497E-5
191.027750	1569.366011	8.694035E-5	2.146884E-5	6.547171E-5
191.027850	1569.365189	9.292293E-5	2.322210E-5	6.966900E-5
191.027950	1569.364368	9.166958E-5	2.471050E-5	6.696153E-5
191.028050	1569.363546	8.591234E-5	2.425909E-5	6.167008E-5
191.028150	1569.362725	8.596047E-5	2.303846E-5	6.291101E-5
191.028250	1569.361903	8.597919E-5	2.301721E-5	6.293812E-5
191.028350	1569.361082	8.728429E-5	2.351145E-5	6.378331E-5
191.028450	1569.360260	8.748859E-5	2.373216E-5	6.375878E-5
191.028550	1569.359439	7.970330E-5	2.198947E-5	5.773398E-5
191.028650	1569.358617	8.155970E-5	2.137584E-5	6.016454E-5
191.028750	1569.357796	8.525580E-5	2.306630E-5	6.219810E-5
191.028850	1569.356974	8.575166E-5	2.371712E-5	6.203415E-5
191.028950	1569.356153	8.643413E-5	2.357833E-5	6.286706E-5
191.029050	1569.355331	9.055980E-5	2.457836E-5	6.599291E-5
191.029150	1569.354510	9.067912E-5	2.459827E-5	6.605499E-5
191.029250	1569.353688	8.980593E-5	2.385652E-5	6.593697E-5
191.029350	1569.352866	9.229968E-5	2.339480E-5	6.889327E-5
191.029450	1569.352045	8.802310E-5	2.340858E-5	6.461474E-5
191.029550	1569.351223	9.061624E-5	2.425223E-5	6.635753E-5
191.029650	1569.350402	8.789361E-5	2.358414E-5	6.431274E-5
191.029750	1569.349580	9.031868E-5	2.344484E-5	6.685233E-5
191.029850	1569.348759	9.132919E-5	2.373429E-5	6.756978E-5
191.029950	1569.347937	9.122112E-5	2.406087E-5	6.715897E-5
191.030050	1569.347116	9.216744E-5	2.399691E-5	6.813345E-5
191.030150	1569.346294	9.358680E-5	2.482033E-5	6.873370E-5
191.030250	1569.345473	8.843975E-5	2.371493E-5	6.469040E-5
191.030350	1569.344651	8.388671E-5	2.155149E-5	6.234350E-5
191.030450	1569.343830	8.585172E-5	2.233826E-5	6.349492E-5
191.030550	1569.343008	8.560313E-5	2.236178E-5	6.323063E-5
191.030650	1569.342187	8.298557E-5	2.225651E-5	6.072571E-5
191.030750	1569.341365	8.603582E-5	2.202964E-5	6.400196E-5
191.030850	1569.340544	8.725708E-5	2.199154E-5	6.523127E-5
191.030950	1569.339722	8.572609E-5	2.328913E-5	6.244899E-5
191.031050	1569.338901	8.373017E-5	2.374568E-5	6.000203E-5
191.031150	1569.338079	8.715222E-5	2.192943E-5	6.524896E-5
191.031250	1569.337258	9.019393E-5	2.275942E-5	6.741109E-5
191.031350	1569.336436	8.807955E-5	2.449359E-5	6.358494E-5
191.031450	1569.335615	8.553896E-5	2.512987E-5	6.043695E-5
191.031550	1569.334793	8.769465E-5	2.351460E-5	6.418462E-5
191.031650	1569.333972	8.868680E-5	2.321683E-5	6.545127E-5
191.031750	1569.333150	8.588512E-5	2.422177E-5	6.165927E-5
191.031850	1569.332329	8.519797E-5	2.281377E-5	6.236833E-5
191.031950	1569.331507	8.382519E-5	2.201052E-5	6.180930E-5
191.032050	1569.330686	8.832764E-5	2.286891E-5	6.546935E-5
191.032150	1569.329864	8.940612E-5	2.187251E-5	6.753260E-5
191.032250	1569.329043	8.345472E-5	2.216727E-5	6.129495E-5
191.032350	1569.328221	8.510274E-5	2.481435E-5	6.028882E-5
191.032450	1569.327400	8.616492E-5	2.318511E-5	6.297749E-5
191.032550	1569.326578	8.544727E-5	2.167996E-5	6.374064E-5
191.032650	1569.325757	8.508320E-5	2.270608E-5	6.236368E-5
191.032750	1569.324935	8.443326E-5	2.203261E-5	6.241702E-5
191.032850	1569.324114	8.471916E-5	2.260856E-5	6.209277E-5
191.032950	1569.323292	8.773404E-5	2.268107E-5	6.504456E-5
191.033050	1569.322471	8.656878E-5	2.284146E-5	6.371054E-5
191.033150	1569.321649	8.663370E-5	2.368355E-5	6.294734E-5
191.033250	1569.320828	8.545981E-5	2.333808E-5	6.211698E-5
191.033350	1569.320006	9.088689E-5	2.336432E-5	6.749503E-5
191.033450	1569.319185	9.166143E-5	2.329928E-5	6.834907E-5
191.033550	1569.318363	9.246553E-5	2.321249E-5	6.926268E-5
191.033650	1569.317542	8.813699E-5	2.341669E-5	6.474814E-5
191.033750	1569.316720	9.012160E-5	2.496285E-5	6.515761E-5
191.033850	1569.315899	9.249567E-5	2.429423E-5	6.819968E-5
191.033950	1569.315077	8.855546E-5	2.248664E-5	6.609749E-5
191.034050	1569.314256	9.120656E-5	2.213758E-5	6.908342E-5
191.034150	1569.313434	9.258187E-5	2.461425E-5	6.796311E-5
191.034250	1569.312613	8.887859E-5	2.436262E-5	6.449933E-5
191.034350	1569.311791	8.879144E-5	2.308848E-5	6.573107E-5
191.034450	1569.310970	8.886627E-5	2.400231E-5	6.487719E-5
191.034550	1569.310148	8.973727E-5	2.390897E-5	6.583502E-5
191.034650	1569.309327	9.120150E-5	2.427441E-5	6.690891E-5
191.034750	1569.308505	9.495865E-5	2.603634E-5	6.893154E-5
191.034850	1569.307684	9.498223E-5	2.593607E-5	6.904580E-5
191.034950	1569.306862	8.935379E-5	2.533006E-5	6.399169E-5
191.035050	1569.306041	8.908742E-5	2.517377E-5	6.391560E-5
191.035150	1569.305219	9.251147E-5	2.578533E-5	6.672261E-5
191.035250	1569.304398	9.275016E-5	2.484794E-5	6.792071E-5
191.035350	1569.303577	8.940646E-5	2.455076E-5	6.484930E-5
191.035450	1569.302755	9.181174E-5	2.533019E-5	6.648436E-5
191.035550	1569.301934	9.002117E-5	2.448206E-5	6.552818E-5
191.035650	1569.301112	9.217823E-5	2.602270E-5	6.612986E-5
191.035750	1569.300291	9.831679E-5	2.733424E-5	7.099322E-5
191.035850	1569.299469	0.000101	2.624409E-5	7.496042E-5
191.035950	1569.298648	9.864720E-5	2.615098E-5	7.249041E-5
191.036050	1569.297826	9.423075E-5	2.591187E-5	6.831070E-5
191.036150	1569.297005	9.265768E-5	2.603633E-5	6.660841E-5
191.036250	1569.296183	9.605920E-5	2.654908E-5	6.951297E-5
191.036350	1569.295362	9.600806E-5	2.761379E-5	6.840328E-5
191.036450	1569.294540	9.576807E-5	2.644421E-5	6.931114E-5
191.036550	1569.293719	9.828943E-5	2.524292E-5	7.306172E-5
191.036650	1569.292897	9.934874E-5	2.582555E-5	7.349499E-5
191.036750	1569.292076	9.561315E-5	2.584929E-5	6.972331E-5
191.036850	1569.291255	9.682568E-5	2.650679E-5	7.033242E-5
191.036950	1569.290433	9.969602E-5	2.895525E-5	7.071731E-5
191.037050	1569.289612	0.000101	2.875214E-5	7.274162E-5
191.037150	1569.288790	0.000107	2.897032E-5	7.781491E-5
191.037250	1569.287969	0.000106	2.878560E-5	7.683066E-5
191.037350	1569.287147	0.000106	2.895753E-5	7.728273E-5
191.037450	1569.286326	0.000110	2.867937E-5	8.148751E-5
191.037550	1569.285504	0.000105	2.614199E-5	7.847158E-5
191.037650	1569.284683	0.000105	2.728963E-5	7.730698E-5
191.037750	1569.283861	0.000104	2.715566E-5	7.716580E-5
191.037850	1569.283040	0.000101	2.598417E-5	7.477532E-5
191.037950	1569.282219	0.000103	2.694706E-5	7.597355E-5
191.038050	1569.281397	0.000103	2.682760E-5	7.623533E-5
191.038150	1569.280576	0.000105	2.872230E-5	7.595101E-5
191.038250	1569.279754	0.000106	2.891630E-5	7.683152E-5
191.038350	1569.278933	0.000104	2.821029E-5	7.541220E-5
191.038450	1569.278111	0.000111	2.925657E-5	8.220500E-5
191.038550	1569.277290	0.000112	2.944195E-5	8.214863E-5
191.038650	1569.276468	0.000106	2.900052E-5	7.657545E-5
191.038750	1569.275647	0.000106	2.913225E-5	7.697326E-5
191.038850	1569.274826	0.000109	2.921198E-5	7.966623E-5
191.038950	1569.274004	0.000108	2.816986E-5	7.996642E-5
191.039050	1569.273183	0.000101	2.676376E-5	7.387354E-5
191.039150	1569.272361	0.000102	2.912065E-5	7.302437E-5
191.039250	1569.271540	0.000104	3.015698E-5	7.359754E-5
191.039350	1569.270718	0.000109	2.718272E-5	8.226478E-5
